pair,market,entry_date,position_side,entry_price,position_size,entry_zscore,coint_pvalue,half_life,zero_crossing,exit_date,exit_zscore,exit_signal,total_pnl
MKR-USD--ADA-USD,ADA-USD,2023-04-23T16:07:24.186Z,LONG,0.386,129.0,1.521964372619022,0.010615295700055,10.0,14.0,2023-04-25T07:11:54.773099,-1.6356202359808918,Zscore,-0.506432
ENJ-USD--MATIC-USD,ENJ-USD,2023-04-24T07:47:54.923Z,SHORT,0.386,129.0,1.6785874080586431,6.955340023281991e-05,18.0,13.0,2023-04-25T07:36:23.360552,1.480415482171497,SL,0.2121539999999999
ENJ-USD--MATIC-USD,MATIC-USD,2023-04-24T07:48:13.824Z,LONG,0.9913,50.0,1.6785874080586431,6.955340023281991e-05,18.0,13.0,2023-04-25T07:36:25.248504,1.480415482171497,SL,-1.496314
MKR-USD--ADA-USD,MKR-USD,2023-04-25T08:28:24.765Z,SHORT,670.0,0.074,2.123237648068536,0.0080707908027553,7.0,27.0,2023-04-25T09:39:17.067937,-2.140347725625493,Zscore,-0.003815
MKR-USD--ADA-USD,ADA-USD,2023-04-25T08:28:44.039Z,LONG,0.379,132.0,2.123237648068536,0.0080707908027553,7.0,27.0,2023-04-25T09:39:18.941406,-2.140347725625493,Zscore,-0.013828
ENJ-USD--LTC-USD,ENJ-USD,2023-04-25T07:38:16.135Z,LONG,0.385,129.0,-1.5566941623135344,0.0160081066026004,22.0,27.0,2023-04-25T10:05:06.681384,-2.29717969986888,SL,-0.275509
ENJ-USD--LTC-USD,LTC-USD,2023-04-25T07:38:35.054Z,SHORT,87.7,0.57,-1.5566941623135344,0.0160081066026004,22.0,27.0,2023-04-25T10:05:08.610876,-2.29717969986888,SL,-1.001121
YFI-USD--BTC-USD,YFI-USD,2023-04-24T19:23:49.870Z,LONG,7996.0,0.0063,-2.1918638479018195,0.034611261324434,4.0,17.0,2023-04-25T14:48:14.786752,-3.430015768239326,SL,-1.338936
YFI-USD--BTC-USD,BTC-USD,2023-04-24T19:24:08.512Z,SHORT,27322.0,0.0018,-2.1918638479018195,0.034611261324434,4.0,17.0,2023-04-25T14:48:16.710536,-3.430015768239326,SL,0.068775
NEAR-USD--DOGE-USD,NEAR-USD,2023-04-25T00:36:21.438Z,LONG,1.875,26.6,-1.9470481005691844,0.0121958505663142,17.0,23.0,2023-04-25T17:24:45.505819,2.13423157813158,Zscore,0.122421
